user_id,signed_up,verified_email,completed_personal_details,submitted_kyc_id,passed_liveness_check,completed_first_transfer_setup,country,device,account_type
1,1,1,1,0,0,0,US,mobile,personal
2,1,1,1,1,0,0,Other,mobile,personal
3,1,0,0,0,0,0,EU,mobile,personal
4,1,1,1,0,0,0,US,mobile,personal
5,1,1,1,1,1,1,UK,mobile,personal
6,1,1,1,1,1,0,UK,desktop,personal
7,1,0,0,0,0,0,UK,mobile,business
8,1,1,1,1,1,0,India,mobile,personal
9,1,1,1,1,1,0,EU,desktop,personal
10,1,1,1,1,0,0,EU,desktop,personal
11,1,1,0,0,0,0,UK,desktop,personal
12,1,0,0,0,0,0,Other,desktop,personal
13,1,0,0,0,0,0,India,desktop,personal
14,1,1,0,0,0,0,UK,mobile,personal
15,1,1,1,1,1,0,UK,mobile,personal
16,1,0,0,0,0,0,UK,mobile,business
17,1,1,1,1,0,0,UK,mobile,personal
18,1,1,1,0,0,0,US,mobile,business
19,1,1,1,1,1,1,US,mobile,personal
20,1,1,1,1,1,0,UK,mobile,personal
21,1,0,0,0,0,0,EU,mobile,personal
22,1,1,0,0,0,0,UK,mobile,personal
23,1,1,1,1,1,1,UK,desktop,personal
24,1,1,1,1,1,1,US,mobile,personal
25,1,1,1,1,1,1,US,desktop,personal
26,1,1,1,0,0,0,EU,mobile,personal
27,1,1,1,1,1,1,UK,desktop,personal
28,1,1,1,1,1,1,US,desktop,personal
29,1,1,1,1,1,1,US,desktop,personal
30,1,1,1,1,1,0,UK,desktop,personal
31,1,1,1,1,1,0,EU,mobile,business
32,1,1,1,1,1,1,UK,desktop,personal
33,1,0,0,0,0,0,UK,desktop,personal
34,1,1,1,1,1,1,Other,desktop,personal
35,1,0,0,0,0,0,Other,desktop,personal
36,1,1,1,1,1,1,India,mobile,business
37,1,0,0,0,0,0,UK,desktop,personal
38,1,1,0,0,0,0,UK,mobile,personal
39,1,1,1,1,0,0,EU,mobile,business
40,1,1,1,1,1,0,US,mobile,personal
41,1,1,1,0,0,0,UK,desktop,personal
42,1,1,1,0,0,0,US,mobile,business
43,1,1,1,1,1,1,UK,mobile,personal
44,1,1,1,0,0,0,Other,mobile,personal
45,1,1,1,1,1,1,UK,desktop,personal
46,1,1,0,0,0,0,EU,mobile,business
47,1,1,1,1,0,0,UK,mobile,personal
48,1,1,1,1,1,1,US,mobile,personal
49,1,1,1,0,0,0,US,desktop,personal
50,1,0,0,0,0,0,UK,desktop,business
51,1,1,1,1,1,1,Other,desktop,personal
52,1,0,0,0,0,0,EU,mobile,business
53,1,1,0,0,0,0,Other,desktop,personal
54,1,0,0,0,0,0,India,mobile,personal
55,1,1,1,1,1,1,US,mobile,personal
56,1,1,1,0,0,0,Other,mobile,business
57,1,0,0,0,0,0,UK,mobile,personal
58,1,1,1,1,0,0,UK,desktop,personal
59,1,1,1,1,1,0,UK,mobile,business
60,1,0,0,0,0,0,UK,mobile,personal
61,1,1,1,1,0,0,US,mobile,personal
62,1,1,1,1,1,1,UK,mobile,personal
63,1,1,1,0,0,0,India,mobile,personal
64,1,1,1,1,1,0,US,mobile,business
65,1,0,0,0,0,0,UK,mobile,business
66,1,1,0,0,0,0,US,desktop,personal
